DICDNet Image Quality Evaluation by Metal Size
Date: 2025-05-12 13:01:05
Results Directory: /home/mcosta/PycharmProjects/DICDNet/DICDNet/save_results
Model Evaluated: DICDNet
Total GT files found: 2000
Total files processed and metrics collected: 2000

--- Metrics by Metal Size Group (mean ± std) ---
Group Label                   Count           PSNR(img)             SSIM(img)            PSNR(hu)              SSIM(hu)
-----------------------------------------------------------------------------------------------------------------------
Large       ({1338, 3119}px)    400       35.55 ± 3.49         0.9770 ± 0.0054       27.34 ± 1.51         0.9432 ± 0.0132
Large-Med   ({688, 1329}px)     400       38.48 ± 3.28         0.9848 ± 0.0033       30.30 ± 1.94         0.9624 ± 0.0093
Medium      ({182, 371}px)      400       42.10 ± 3.67         0.9896 ± 0.0021       33.11 ± 1.70         0.9700 ± 0.0066
Med-Small   ({171, 180}px)      400       44.74 ± 2.75         0.9914 ± 0.0021       35.49 ± 2.15         0.9736 ± 0.0073
Small       ({54, 84}px)        400       45.35 ± 2.26         0.9919 ± 0.0016       35.98 ± 1.32         0.9746 ± 0.0064
-----------------------------------------------------------------------------------------------------------------------

--- Overall Summary (mean ± std across all processed files) ---
PSNR(img): 41.25 ± 4.88 (from 2000 images)
SSIM(img): 0.9869 ± 0.0064
PSNR(hu):  32.44 ± 3.69
SSIM(hu):  0.9648 ± 0.0146

--- Individual File Metrics Log ---
Filename            Prefix     MaskIdx  MaskArea   Group   PSNR(img)   SSIM(img)    PSNR(hu)    SSIM(hu)
210_gt_image.png    210              9       180      G2       45.56      0.9912       34.03      0.9663
211_gt_image.png    211              0       371      G3       45.34      0.9911       33.99      0.9692
212_gt_image.png    212              1      1338      G5       37.67      0.9832       28.26      0.9475
213_gt_image.png    213              2       688      G4       29.07      0.9796       30.26      0.9592
214_gt_image.png    214              3        84      G1       47.48      0.9922       35.29      0.9705
215_gt_image.png    215              4       171      G2       48.61      0.9941       38.11      0.9769
216_gt_image.png    216              5        54      G1       47.61      0.9932       35.96      0.9752
217_gt_image.png    217              6      1329      G4       41.30      0.9884       29.28      0.9611
218_gt_image.png    218              7      3119      G5       39.25      0.9818       25.95      0.9338
219_gt_image.png    219              8       182      G3       45.02      0.9909       32.33      0.9681
220_gt_image.png    220              9       180      G2       46.22      0.9915       34.20      0.9676
221_gt_image.png    221              0       371      G3       43.25      0.9910       33.94      0.9700
222_gt_image.png    222              1      1338      G5       33.10      0.9823       29.15      0.9513
223_gt_image.png    223              2       688      G4       29.30      0.9802       30.28      0.9600
224_gt_image.png    224              3        84      G1       45.73      0.9920       35.36      0.9714
225_gt_image.png    225              4       171      G2       48.93      0.9940       38.00      0.9776
226_gt_image.png    226              5        54      G1       45.35      0.9932       36.64      0.9769
227_gt_image.png    227              6      1329      G4       41.45      0.9876       28.64      0.9584
228_gt_image.png    228              7      3119      G5       38.77      0.9804       25.52      0.9328
229_gt_image.png    229              8       182      G3       45.86      0.9912       33.80      0.9706
